Unnamed: 0.1,Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
70,70,,50.0,C,Arson,33.21749998,-79.32026999,SC,3/20/2004,,Mar,,,,2/19/2004,2004,Feb,747917,55744.3778,99999,1942,2020,16,1.0,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1114058985017047
71,71,,3.0,B,Missing/Undefined,32.94166667,-80.64166667,SC,3/21/1995,3/21/1995,Mar,,,0 days 00:00:00.000000000,2/19/1995,1995,Feb,722083,55534.989120000006,99999,1945,2020,12,0.1,722083-99999-1995.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1232540073915158
72,72,,4.0,B,Debris Burning,29.77036999,-97.22999998,TX,2/8/2006,,Feb,,,,1/9/2006,2006,Jan,A00008,31064.03959,12978,1948,2019,12,0.1,A00008-12978-2006.gz,13.64166667,13.55277778,13.58928571,14.02638889,3.127777778,2.476944444,2.929166667,2.98125,63.72919605,64.86931818,62.25903614,72.38606676,0.0,0.0,0.0,0.0,0.2771578167331505
73,73,,10.0,C,Equipment Use,43.94039999,-98.51480001,SD,10/27/2003,,Oct,,,,9/27/2003,2003,Sep,726545,42438.5671,99999,1973,2020,9,1.0,726545-99999-2003.gz,12.91572327,11.37772397,11.1182266,1.119103774,3.999496855,3.5227602910000004,4.115270936,5.178748524,60.4327044,62.28329298,59.13300493,73.18996416,38.4,4.1,2.3,9.4,0.2813714096766087
74,74,,8.0,B,Miscellaneous,31.8044,-92.7642,LA,9/26/1997,,Sep,,,,8/27/1997,1997,Aug,722319,32780.58537,99999,1942,2020,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2338549297194361
75,75,,3.2,B,Equipment Use,45.0422716,-89.03498935,WI,4/3/1995,4/3/1995,Apr,4/3/1995 14:57,4/3/1995 16:00,0 days 00:00:00.000000000,3/4/1995,1995,Mar,726626,13601.75266,99999,1992,2004,9,0.1,726626-99999-1995.gz,3.713043478,2.4625,1.84,0.0,5.752173912999999,7.3,9.32,0.0,66.91111111,79.75,78.2,0.0,0.0,0.0,0.0,0.0,0.1928582080156495
76,76,,0.52,B,Debris Burning,31.9954,-82.7805,GA,8/22/1996,8/22/1996,Aug,8/22/1996 11:20,8/22/1996 12:20,0 days 00:00:00.000000000,7/23/1996,1996,Jul,722062,57862.97338,99999,1945,2005,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1429258899717347
77,77,,5.0,B,Equipment Use,32.275940000000006,-102.7609,TX,2/13/2008,,Feb,,,,1/14/2008,2008,Jan,722107,45380.3848,3056,2006,2020,12,0.1,722107-03056-2008.gz,6.224290367999999,8.950697674,8.880239521,9.776217228,4.191577478,4.872930233,3.906187625,4.5720973780000005,44.62889518,32.51597744,37.24693878,44.44874823,0.0,0.0,0.0,0.0,0.3279006605371029
78,78,RAMP,450.0,E,Equipment Use,34.33,-117.5130556,CA,7/22/2006,7/23/2006,Jul,7/22/2006 11:49,7/23/2006 18:00,1 days 00:00:00.000000000,6/22/2006,2006,Jun,747040,31454.75579,99999,1990,2010,16,10.0,747040-03102-2006.gz,27.85048276,28.16509695,28.49940476,33.9,2.58,2.664542936,2.769642857,2.2375,44.7062069,42.9833795,49.0,39.375,0.0,0.0,0.0,0.0,0.47215020307743
79,79,BIRCH,2.5,B,Lightning,42.36444444,-112.2322222,ID,7/25/2006,7/26/2006,Jul,7/25/2006 13:36,7/26/2006 11:00,1 days 00:00:00.000000000,6/25/2006,2006,Jun,725786,22573.62187,99999,1943,2020,9,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4150651090057833
80,80,,8.0,B,Railroad,28.06,-82.57,FL,11/16/1998,,Nov,,,,10/17/1998,1998,Oct,994009,24547.39971,99999,1987,2002,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1441858762744747
81,81,,1.0,B,Debris Burning,37.82518,-93.74782,MO,9/26/1999,,Sep,9/26/1999 15:20,,,8/27/1999,1999,Aug,724400,72238.6991,13995,1973,2005,0,0.1,724400-13995-1999.gz,20.14767025,16.72348993,15.39292035,14.31549894,2.715053763,2.620134228,2.642477876,3.458029979,66.69558824,68.59444444,72.47337278,65.76098191,41.2,1.0,1.0,72.5,0.2391933150283869
82,82,,2.0,B,Missing/Undefined,33.59583333,-80.325,SC,12/27/1993,12/27/1993,Dec,,12/27/1993 11:42,0 days 00:00:00.000000000,11/27/1993,1993,Nov,723107,10812.15238,371,1979,2005,16,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1200072533508849
83,83,TELEPHONE CANYON,18.0,C,Missing/Undefined,41.51085,-109.50637,WY,6/5/2012,6/8/2012,Jun,6/5/2012 14:00,6/8/2012 13:05,3 days 00:00:00.000000000,5/6/2012,2012,May,725744,38961.34897,24027,2006,2020,15,1.0,725744-24027-2012.gz,13.19906542,14.16378378,17.85178571,14.97260274,5.271161549,6.388648648999999,4.9226190480000005,7.779452055,33.59279039,35.34864865,29.61904762,28.0,1.8,0.0,0.0,0.0,0.3884084306904412
